"","Title","Date","Language","Author","MGender","CGender","journal","publisher","topics","RGender"
"1","Provocative diskography: safety and predictive value in the outcome of spinal fusion or pain intervention for chronic low-back pain","2014-12-01","English","Paul","male","male","Journal of Pain Research","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"2","Pulsing blue light through closed eyelids: effects on acute melatonin suppression and phase shifting of dim light melatonin onset","2014-12-01","English","Mariana","female","female","Nature and Science of Sleep","Dove Press","['Psychiatry', 'RC435-571', 'Neurology. Diseases of the nervous system', 'RC346-429', 'Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"3","Pulsing blue light through closed eyelids: effects on acute melatonin suppression and phase shifting of dim light melatonin onset","2014-12-01","English","Barbara","female","female","Nature and Science of Sleep","Dove Press","['Psychiatry', 'RC435-571', 'Neurology. Diseases of the nervous system', 'RC346-429', 'Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"4","Pulsing blue light through closed eyelids: effects on acute melatonin suppression and phase shifting of dim light melatonin onset","2014-12-01","English","Mark","male","male","Nature and Science of Sleep","Dove Press","['Psychiatry', 'RC435-571', 'Neurology. Diseases of the nervous system', 'RC346-429', 'Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"5","Increasing dependency of older people in nursing homes is associated with need for dental treatments","2014-12-01","English","Andreas","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"6","Increasing dependency of older people in nursing homes is associated with need for dental treatments","2014-12-01","English","Peter","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"7","Increasing dependency of older people in nursing homes is associated with need for dental treatments","2014-12-01","English","Tomas","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"8","Increasing dependency of older people in nursing homes is associated with need for dental treatments","2014-12-01","English","Alexander","male","male","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"9","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Susan","female","female","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"10","The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series","
","English","Emma","female","female","Neuropsychiatric Disease and Treatment","Dove Press","['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
