Title,Date,Language,Author,MGender,CGender,NGender,journal,publisher,topics
Provocative diskography: safety and predictive value in the outcome of spinal fusion or pain intervention for chronic low-back pain,2014-12-01,English,Paul C,male,male,male,Journal of Pain Research,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Pulsing blue light through closed eyelids: effects on acute melatonin suppression and phase shifting of dim light melatonin onset,2014-12-01,English,Mariana G,female,female,female,Nature and Science of Sleep,Dove Press,"['Psychiatry', 'RC435-571', 'Neurology. Diseases of the nervous system', 'RC346-429', 'Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Pulsing blue light through closed eyelids: effects on acute melatonin suppression and phase shifting of dim light melatonin onset,2014-12-01,English,Barbara Plitnick,female,female,female,Nature and Science of Sleep,Dove Press,"['Psychiatry', 'RC435-571', 'Neurology. Diseases of the nervous system', 'RC346-429', 'Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Pulsing blue light through closed eyelids: effects on acute melatonin suppression and phase shifting of dim light melatonin onset,2014-12-01,English,Mark S,male,male,male,Nature and Science of Sleep,Dove Press,"['Psychiatry', 'RC435-571', 'Neurology. Diseases of the nervous system', 'RC346-429', 'Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Increasing dependency of older people in nursing homes is associated with need for dental treatments,2014-12-01,English,Andreas Zenth&amp;ouml;fer,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Increasing dependency of older people in nursing homes is associated with need for dental treatments,2014-12-01,English,Peter Rammelsberg,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Increasing dependency of older people in nursing homes is associated with need for dental treatments,2014-12-01,English,Tomas Cabrera,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Increasing dependency of older people in nursing homes is associated with need for dental treatments,2014-12-01,English,Alexander Jochen,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Susan R,female,female,female,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Emma M,female,female,female,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Bianca M,female,female,female,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Stephen Ward,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Charlotte L,female,female,female,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Sarah E,female,female,female,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Ian D,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
The clinical psychologist and the management of&amp;nbsp;inpatient pain: a small case series,"
",English,Carsten Bantel1,male,male,male,Neuropsychiatric Disease and Treatment,Dove Press,"['Neurosciences. Biological psychiatry. Neuropsychiatry', 'RC321-571', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Noninvasive detection of macrophages in atherosclerotic lesions by computed tomography enhanced with PEGylated gold nanoparticles,2014-12-01,English,Qinghua Zhao,unknown,unisex,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
